"","D0","D24","D48","R3","R24","gene_length","ExonN","Paralogs"
"1",3.0498314050506,3.49415053603988,1.83684016648796,5.06316856484485,3.12875735578817,1259,2,"O"
"2",1.09636921784292,1.64343635514586,-0.321463708255514,0.736070125183814,1.6142637716886,4529,6,"P"
"3",3.93302882305931,4.34383682628645,5.17026967057294,4.42437792396113,3.81514859312861,5586,11,"O"
"4",0.63975625758604,-0.656007562130915,-0.877509732416726,-1.07526329744916,1.01135073443536,8920,9,"O"
"5",2.45998257756622,-0.0396138730089314,-0.330812967372972,-0.2595582480251,2.5529772190637,862,4,"P"
"6",4.01633352324305,0.663502028727811,-1.27965321391465,-0.892602339457238,3.07785376651141,12238,13,"O"
"7",-3.01343103229434,-3.01343103229434,-2.61891115577243,-2.70508210592782,-1.66986559481067,1780,3,"P"
"8",-0.14732622666605,1.43026978682954,-1.8986765721522,-0.0736187301068182,0.704319341243024,2470,6,"P"
"9",-0.799439200059442,-0.236870304846766,-1.90063042981821,-1.05492952652007,1.20399257530449,758,3,"O"
"10",1.37833846452744,0.964106926458414,-0.0120801309960256,-0.118749409319214,2.96072967005046,2288,5,"P"
"11",-1.03338563866999,-1.03338563866998,-1.03338563866998,-0.591936622058234,-0.311596778194935,328,2,"P"
"12",2.02436602120671,2.03859825874952,3.95116105555821,3.5877865975472,2.11361803402149,2777,4,"O"
"13",-4.06646380731729,-4.31512464344165,-2.62812438809478,-3.46289680782925,-3.7868214463187,2954,2,"P"
"14",2.86958874325007,3.45715928334642,3.89640329829537,3.42581038387351,3.15395868040013,2020,2,"O"
"15",4.01339106576093,4.15228939498908,5.35725007649036,4.02219917433467,4.23412710736495,15793,9,"O"
"16",-3.74233685666659,-2.50919169049283,-3.0500951827104,-2.37458289099516,-3.74233685666659,2191,5,"P"
"17",-3.71788381294206,-3.71788381294205,-2.63112226246396,-3.53904665315502,-3.4526753708829,1967,4,"P"
"18",-3.73747929301729,-3.73747929301729,-1.93823430510352,-2.3348927436851,-3.73747929301729,1995,4,"P"
"19",3.64454970140468,3.54072840897482,5.08947643683403,3.64280376324532,3.48388274911021,12998,6,"O"
"20",2.83930754065754,2.71005784045479,2.67111250269916,2.40670104679199,3.48881943517229,7920,8,"O"
"21",-2.64923366331703,-3.29708046797189,-2.90256059144998,-2.06392231178217,-3.03187202591273,1374,2,"O"
"22",1.57146618283595,1.39587329508884,1.30739229672767,1.49836594852931,1.86168691315849,6428,5,"P"
"23",4.39945308492663,3.67903511216681,5.17090697803126,5.12816610234245,4.20184660325165,5648,5,"O"
"24",3.25047459619121,3.27666968661906,6.23326941933658,3.74769461169511,2.27973682670318,2950,2,"P"
"25",3.47130864168412,2.96845134352283,3.23103404421889,3.06529080509444,3.89779119565899,6815,7,"O"
"26",4.76763486528187,5.23315094988822,4.81618635116667,5.52622780846838,4.3201071776439,5808,14,"P"
"27",0.502907458357114,0.712909309806733,1.73366542555326,1.15238190269428,0.717672316471406,6899,12,"O"
"28",4.0089345488082,3.97918927379359,4.75274222103935,4.36633725818549,3.86476996717458,4674,8,"O"
"29",2.1184668275387,1.62624444864864,2.35260410872988,2.06671628777779,2.31094887801114,16875,6,"O"
"30",3.2155829821961,3.58976361354409,3.05926272690133,3.91995237895957,3.33981951687935,5867,6,"O"
"31",5.83377083715361,5.94952988485619,6.85700635897058,6.98855335488985,6.2003996889641,1238,4,"O"
"32",3.96420908969642,3.00033532008187,2.61309385817166,3.65052567043148,4.37721769326197,3225,5,"P"
"33",-0.935141645098724,-0.888474870979726,-1.18380248122308,2.69094162541575,2.36034624247792,1355,2,"O"
"34",4.63340806777674,3.96052643205645,3.13488579265994,4.33711078273975,4.57770973143023,4105,5,"O"
"35",3.4343117410793,3.49894994173049,3.30032776256567,4.48322543496835,3.53017423921119,6519,11,"O"
"36",4.6968174614024,3.14588390220492,3.32935806591698,5.93512169768778,5.30710572535841,2141,4,"O"
"37",2.4735037549314,2.1444635654816,-0.208395270510085,1.27161072666359,2.87661650536223,3215,17,"O"
"38",3.31229950646007,1.09789805936834,-1.42397452943502,0.448198101810392,2.08866296531243,1888,6,"O"
"39",3.65742946432038,3.60284633823888,4.14714839719645,4.59541372344888,3.62264132232019,6319,18,"O"
"40",1.0143417792359,0.0419464544256432,0.550673233774705,0.858423158907692,0.647322136526082,15653,84,"O"
"41",-1.21989594005558,-1.95383063822609,-0.967024619797673,-0.538571883426935,-1.00866662779345,1110,2,"O"
"42",3.90820597765617,4.11282730757554,3.81272371693968,4.83347133345926,3.96386449726242,3716,12,"O"
"43",4.50555453738361,4.06047525158179,2.1519336380234,2.54902400930832,4.0047638656102,1520,5,"O"
"44",4.65575312976924,5.30831066945172,7.8437775361184,6.29602325044515,4.44387786837376,23787,7,"O"
"45",0.834616754979627,0.689297993249875,2.47584719417787,1.0024393849637,0.784233597087921,3871,5,"O"
"46",6.24035106997718,4.95540339664865,3.80909187767192,2.45592484201596,5.91300310037395,1275,5,"O"
"47",4.40387314307122,4.25297458811859,4.35317470941375,4.45956445207558,4.13241452858406,3551,5,"O"
"48",3.29484743628643,3.79702300887279,2.67300243467447,4.10525387574889,3.63259791182743,365,2,"O"
"49",3.76988933879027,4.08470631858242,3.32210068888933,3.71822626187699,4.2765585056568,321,2,"O"
"50",0.735047802882174,0.829851915479326,1.80796987500505,3.08457894124325,2.77478407918804,7400,2,"O"
"51",5.9419004188924,7.2778937388011,9.29467616750188,7.4207601712658,5.31641603165202,4759,4,"O"
"52",2.65202558495832,3.41384476312366,2.78531539431433,4.18059960672629,2.80519086076598,2078,2,"O"
"53",2.85162687521572,3.34385378257752,4.39663649208573,1.70109048400426,2.64651674146528,820,2,"P"
"54",2.56011597821617,3.39573945739356,5.68370210989774,4.76074497655942,3.01241710945317,12087,11,"O"
"55",3.11647446780366,3.81119158797551,3.4339370254029,4.16446529887624,2.95491880433599,1295,2,"O"
"56",1.20525975608002,1.15930232253323,2.56096179786861,1.36327612248083,1.29147962003564,3160,4,"O"
"57",6.3827774817039,6.49761813673291,7.18769281785639,6.43450001924787,5.9318701079726,16653,25,"O"
"58",9.91073142476495,9.57923998215126,9.98995597965408,9.03354294366389,9.37790973032428,1218,3,"P"
"59",1.63063501436201,0.92558780121283,0.340218442980546,1.42633962891621,1.5072248886484,1402,4,"P"
"60",-2.56450998776359,-2.56450998776359,-2.56450998776359,-1.93413267096674,-2.29930154570443,886,2,"O"
"61",-0.92242493575894,-1.32593728297561,-0.012673054142502,-2.02831927995086,-1.63993168885698,2098,3,"O"
"62",3.83497370278259,3.77092963780798,3.66252634007556,4.20955120337991,3.64601583989,4015,7,"O"
"63",0.30697861927655,-0.0717229531941338,-0.600836336082438,0.107024699959585,0.85361082848432,5413,12,"P"
"64",-1.68022925992051,-2.45874724667134,-3.25691002949635,-2.18935860738266,-0.675497861309911,1511,5,"P"
